TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
1,8.76,8.76,2,8.87,8.87,3,8.95,8.95,4,9.04,9.04,6,9.40,9.40,5,9.22,9.22,7,9.64,9.64
2,11.97,20.73,1,11.82,20.69,5,11.96,20.91,4,11.84,20.88,7,11.95,21.35,6,11.97,21.19,3,11.18,20.82
3,10.12,30.85,2,10.07,30.76,5,10.18,31.09,4,10.11,30.99,7,10.20,31.55,6,10.07,31.26,1,9.85,30.67
3,10.30,41.15,2,10.29,41.05,4,10.16,41.25,4,10.26,41.25,7,10.07,41.62,6,10.22,41.48,1,10.30,40.97
4,10.37,51.52,3,10.37,51.42,2,10.11,51.36,5,10.40,51.65,7,10.38,52.00,6,10.32,51.80,1,10.37,51.34
4,10.55,1:02.07,3,10.54,1:01.96,1,10.39,1:01.75,5,10.54,1:02.19,7,10.48,1:02.48,6,10.51,1:02.31,2,10.55,1:01.89
5,10.66,1:12.73,4,10.70,1:12.66,1,10.65,1:12.40,3,10.44,1:12.63,7,10.67,1:13.15,6,10.54,1:12.85,2,10.66,1:12.55
4,10.64,1:23.37,3,10.64,1:23.30,1,10.68,1:23.08,6,10.76,1:23.39,7,10.81,1:23.96,4,10.52,1:23.37,2,10.66,1:23.21
5,10.42,1:33.79,3,10.43,1:33.73,4,10.67,1:33.75,6,10.52,1:33.91,7,11.00,1:34.96,1,9.61,1:32.98,2,10.08,1:33.29
3,10.05,1:43.84,5,10.34,1:44.07,6,10.77,1:44.52,4,10.14,1:44.05,7,11.33,1:46.29,1,9.92,1:42.90,2,9.77,1:43.06
3,9.86,1:53.70,5,10.60,1:54.67,6,11.04,1:55.56,4,9.77,1:53.82,7,11.94,1:58.23,1,10.22,1:53.12,2,10.19,1:53.25
4,10.16,2:03.86,5,11.10,2:05.77,6,11.54,2:07.10,3,9.87,2:03.69,7,12.57,2:10.80,1,10.32,2:03.44,2,10.25,2:03.50
4,10.38,2:14.24,5,11.52,2:17.29,6,11.71,2:18.81,3,9.96,2:13.65,7,14.18,2:24.98,2,10.02,2:13.46,1,9.86,2:13.36
4,10.55,2:24.79,5,12.22,2:29.51,6,12.12,2:30.93,3,10.12,2:23.77,7,12.92,2:37.90,2,10.00,2:23.46,1,9.96,2:23.32
