HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
1,7.07,7.07,2,7.17,7.17,4,7.45,,5,7.60,7.60,3,7.28,7.28
1,9.15,16.22,2,9.13,16.30,4,9.04,,5,9.37,16.97,3,9.08,16.36
3,8.94,25.16,2,8.79,25.09,3,8.67,,5,8.90,25.87,1,8.65,25.01
3,9.15,34.31,4,9.42,34.51,2,9.04,,5,9.16,35.03,1,8.68,33.69
3,8.96,43.27,4,8.88,43.39,2,8.89,,4,9.30,44.335,1,9.01,42.70
