Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,SEO Ho-Jin POSITION,SEO Ho-Jin LAP TIME,SEO Ho-Jin ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
1,14.8963,14.8963,3,15.1287,15.1287,2,14.9001,14.9001,4,15.1940,15.1940
2,13.1992,28.0955,3,13.1604,28.2891,1,13.0356,27.9357,4,13.1784,28.3724
1,12.3325,40.4280,4,12.4929,40.7820,2,12.5982,40.5339,3,12.3755,40.7479
1,10.0062,50.4342,3,9.8950,50.6770,2,9.9089,50.4428,4,10.1383,50.8862
2,9.8804,1:00.3146,3,9.8198,1:00.4968,1,9.8204,1:00.2632,4,9.8574,1:00.7436
2,9.4406,1:09.7552,3,9.4773,1:09.9741,1,9.4058,1:09.6690,4,9.3906,1:10.1342
3,9.2187,1:18.9739,2,8.9132,1:18.8873,1,9.1434,1:18.8124,4,8.9821,1:19.1163
4,9.3584,1:28.3323,1,9.2235,1:28.1108,2,9.3001,1:28.1125,3,9.1499,1:28.2662
4,10.06,1:38.386,1,9.34,1:37.444,3,9.52,1:37.630,2,9.36,1:37.624
