ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,KIM Kum Hyang POSITION,KIM Kum Hyang LAP TIME,KIM Kum Hyang ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Danielle AMOS POSITION,Danielle AMOS LAP TIME,Danielle AMOS ELAPSED TIME
1,13.84,13.84,3,14.06,14.06,2,13.96,13.96,5,14.26,14.26,4,14.12,,6,14.35,14.35
1,10.35,24.19,2,10.17,24.23,3,10.34,24.30,5,10.28,24.54,4,10.29,,6,10.31,24.66
2,9.79,33.98,1,9.66,33.89,3,9.76,34.06,5,9.61,34.15,3,9.65,,6,9.60,34.26
1,9.67,43.65,2,9.84,43.73,4,9.90,43.96,5,9.91,44.06,3,9.79,,6,9.93,44.19
1,9.64,53.29,2,9.68,53.41,4,9.62,53.58,5,9.62,53.68,3,9.64,,6,9.66,53.85
1,9.65,1:02.94,2,9.64,1:03.05,4,9.63,1:03.21,5,9.65,1:03.33,3,9.58,,6,9.70,1:03.55
1,9.58,1:12.52,3,9.90,1:12.95,2,9.60,1:12.81,5,9.97,1:13.30,4,10.13,,6,10.02,1:13.57
1,9.79,1:22.31,3,9.92,1:22.87,2,9.82,1:22.63,5,10.21,1:23.51,4,10.12,,6,10.26,1:23.83
1,10.07,1:32.38,3,10.33,1:33.20,2,9.90,1:32.53,4,10.55,1:34.068,4,10.27,,5,10.46,1:34.297
