Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME
2,6.731,6.731,1,6.703,6.703,4,6.955,6.955,3,6.770,6.770
3,9.221,15.952,1,9.002,15.705,2,8.939,15.893,4,9.390,16.160
3,8.791,24.742,1,8.716,24.420,2,8.614,24.506,4,8.664,24.824
4,8.802,33.544,2,8.725,33.145,1,8.538,33.044,3,8.551,33.375
3,9.15,42.690,4,17.63,50.774,1,9.08,42.121,2,8.98,42.354
