Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Kristina KOBLER POSITION,Kristina KOBLER LAP TIME,Kristina KOBLER ELAPSED TIME
3,15.28,15.28,1,15.07,15.07,2,15.17,15.17,4,15.43,15.43
1,11.28,26.56,3,11.90,26.97,2,11.58,26.75,4,11.86,27.29
1,10.73,37.29,3,10.57,37.54,2,10.65,37.40,4,10.54,37.83
1,11.04,48.33,3,11.04,48.58,2,11.05,48.45,4,10.97,48.80
1,11.16,59.49,3,11.14,59.72,2,11.15,59.60,4,11.04,59.84
3,10.87,1:10.36,2,10.63,1:10.35,1,10.39,1:09.99,4,10.87,1:10.71
3,10.59,1:20.95,2,10.17,1:20.52,1,10.38,1:20.37,4,10.60,1:21.31
3,10.49,1:31.44,2,9.91,1:30.43,1,9.96,1:30.33,4,10.57,1:31.88
3,10.83,1:42.270,2,9.87,1:40.292,1,9.85,1:40.176,4,10.98,1:42.856
