YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
2,13.56,13.56,1,13.36,13.36,3,13.69,13.69
2,10.17,23.73,1,10.16,23.52,3,10.18,23.87
2,9.79,33.52,1,9.86,33.38,3,9.79,33.66
2,9.72,43.24,1,9.77,43.15,3,9.72,43.38
2,10.19,53.43,1,10.16,53.31,3,10.16,53.54
1,10.13,1:03.56,2,10.28,1:03.59,3,10.16,1:03.70
1,9.85,1:13.41,3,10.49,1:14.08,2,9.82,1:13.52
1,9.66,1:23.07,3,10.54,1:24.62,2,9.67,1:23.19
1,9.85,1:32.911,3,10.90,1:35.511,2,9.83,1:33.017
