J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
2,12.694,12.694,4,13.203,13.203,3,12.700,12.700,1,12.652,12.652,5,13.334,13.334
2,9.718,22.412,4,9.445,22.648,1,9.596,22.296,3,9.799,22.451,5,9.542,22.876
4,9.563,31.975,5,9.625,32.273,3,9.542,31.838,2,9.346,31.797,1,8.690,31.565
3,9.503,41.477,4,9.385,41.658,1,9.548,41.385,2,9.661,41.458,5,10.384,41.949
5,15.979,57.456,3,9.324,50.982,1,9.244,50.629,2,9.235,50.693,4,9.185,51.134
5,37.198,1:34.655,3,9.273,1:00.255,1,9.069,59.699,2,9.110,59.803,4,9.405,1:00.540
5,13.537,1:48.192,3,8.723,1:08.978,1,9.033,1:08.731,2,9.083,1:08.886,4,9.376,1:09.915
5,12.840,2:01.031,1,8.759,1:17.736,3,9.059,1:17.790,2,8.894,1:17.780,4,9.554,1:19.469
5,12.911,2:13.942,1,9.258,1:26.994,3,9.277,1:27.067,2,9.246,1:27.026,4,10.232,1:29.701
