Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME,Bejamin WHITESIDE POSITION,Bejamin WHITESIDE LAP TIME,Bejamin WHITESIDE ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME
2,13.30,13.30,5,13.61,13.61,1,13.19,13.19,3,13.44,13.44,4,13.60,13.60
2,10.63,23.93,5,10.71,24.32,1,10.64,23.83,3,10.58,24.02,4,10.53,24.13
2,10.47,34.40,5,10.53,34.85,1,10.46,34.29,3,10.53,34.55,4,10.55,34.68
2,10.40,44.80,5,10.31,45.16,1,10.38,44.67,3,10.37,44.92,4,10.35,45.03
2,9.95,54.75,5,10.03,55.19,1,9.98,54.65,3,9.99,54.91,4,9.98,55.01
2,9.49,1:04.24,5,9.62,1:04.81,1,9.51,1:04.16,3,9.36,1:04.27,4,9.44,1:04.45
3,9.45,1:13.69,5,9.78,1:14.59,1,9.32,1:13.48,2,9.30,1:13.57,4,9.32,1:13.77
3,9.30,1:22.99,5,10.47,1:25.06,2,9.45,1:22.93,1,9.06,1:22.63,4,9.53,1:23.30
3,9.52,1:32.51,5,11.16,1:36.22,2,9.43,1:32.36,1,9.32,1:31.95,4,9.33,1:32.63
