CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME
3,9.260,9.260,1,8.920,8.920,2,9.030,9.030,6,9.610,9.610,5,9.480,9.480,4,9.280,9.280
4,13.000,22.260,1,12.900,21.830,2,12.990,22.020,6,12.950,22.570,5,13.040,22.520,3,12.950,22.230
5,11.650,33.920,2,11.800,33.630,4,11.670,33.700,1,10.800,33.370,6,11.420,33.940,3,11.450,33.690
5,10.310,44.240,2,10.170,43.800,4,10.420,44.120,1,10.330,43.700,6,10.360,44.310,3,10.350,44.050
5,10.120,54.360,1,10.110,53.920,4,10.110,54.230,2,10.320,54.030,6,10.110,54.420,3,10.070,54.120
4,10.290,1:04.650,3,10.520,1:04.440,2,10.160,1:04.390,1,10.350,1:04.380,6,10.360,1:04.780,5,10.580,1:04.710
6,10.060,1:14.720,1,9.750,1:14.200,3,9.970,1:14.370,2,9.840,1:14.230,5,9.930,1:14.710,4,9.870,1:14.580
4,10.080,1:24.800,2,10.190,1:24.390,3,10.240,1:24.620,1,10.150,1:24.390,6,10.140,1:24.860,5,10.240,1:24.820
3,9.710,1:34.520,4,10.150,1:34.550,2,9.690,1:34.310,1,9.770,1:34.160,6,9.910,1:34.780,5,9.850,1:34.680
3,9.480,1:44.000,4,9.480,1:44.030,2,9.520,1:43.840,1,9.470,1:43.630,6,9.640,1:44.430,5,9.670,1:44.360
3,9.500,1:53.500,4,9.550,1:53.590,2,9.530,1:53.380,1,9.650,1:53.290,6,9.500,1:53.930,5,9.450,1:53.810
2,9.580,2:03.080,4,9.560,2:03.150,3,9.720,2:03.100,1,9.570,2:02.870,6,9.760,2:03.690,5,9.780,2:03.600
4,9.850,2:12.940,3,9.630,2:12.790,2,9.450,2:12.550,1,9.580,2:12.450,5,9.690,2:13.390,6,10.520,2:14.120
3,9.660,2:22.610,4,9.830,2:22.620,2,9.800,2:22.360,1,9.740,2:22.190,5,10.040,2:23.430,6,12.210,2:26.340
