Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME
2,13.470,13.470,3,13.490,13.490,4,13.720,13.720,1,13.400,13.400
1,10.440,23.910,3,10.680,24.170,4,10.470,24.190,2,10.720,24.130
1,9.940,33.860,3,9.940,34.120,4,10.100,34.290,2,9.820,33.950
1,9.490,43.360,3,9.490,43.610,4,9.420,43.720,2,9.510,43.460
1,9.400,52.760,2,9.370,52.980,4,9.450,53.170,3,9.560,53.020
1,9.390,1:02.160,3,9.340,1:02.320,4,9.340,1:02.520,2,9.250,1:02.270
1,9.310,1:11.470,2,9.320,1:11.650,4,9.460,1:11.980,3,9.400,1:11.680
1,9.320,1:20.800,3,9.360,1:21.010,4,9.550,1:21.540,2,9.120,1:20.810
2,9.550,1:30.350,1,9.230,1:30.240,4,10.750,1:32.290,3,9.640,1:30.450
