Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME
1,6.73,6.73,3,7.02,,2,6.86,6.86,4,7.16,7.16,5,7.37,7.37
1,8.72,15.45,3,8.76,,2,8.70,15.56,4,8.81,15.97,5,8.92,16.29
1,8.27,23.72,3,8.20,,2,8.24,23.80,4,8.44,24.41,5,8.50,24.79
5,22.47,46.19,1,8.47,,2,9.07,32.87,3,8.62,33.03,4,8.66,33.45
5,22.31,1:08.50,1,9.05,,2,9.15,42.02,3,9.06,42.09,4,8.87,42.32
