Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME
1,12.34,12.34,2,12.43,12.43,4,12.64,12.64,3,12.49,12.49,5,12.75,12.75
1,9.30,21.64,3,9.46,21.89,4,9.26,21.90,2,9.28,21.77,5,9.29,22.04
1,9.50,31.14,4,9.62,31.51,3,9.49,31.39,2,9.51,31.28,5,9.50,31.54
1,9.12,40.26,5,9.08,40.59,3,9.05,40.44,2,9.07,40.35,4,8.94,40.48
1,9.11,49.37,5,9.21,49.80,3,9.09,49.53,2,9.11,49.46,4,9.19,49.67
1,9.41,58.78,5,9.38,59.18,3,9.44,58.97,2,9.43,58.89,4,9.42,59.09
1,9.22,1:08.00,5,9.13,1:08.31,3,9.21,1:08.18,2,9.21,1:08.10,4,9.19,1:08.28
1,9.01,1:17.01,5,9.10,1:17.41,2,8.94,1:17.12,3,9.04,1:17.14,4,9.00,1:17.28
1,9.07,1:26.064,5,9.22,1:26.621,2,9.01,1:26.122,4,9.07,1:26.190,3,8.88,1:26.163
