Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
1,8.55,8.55,2,8.68,8.68,3,8.84,8.84,7,9.32,9.32,4,9.03,9.03,6,9.25,9.25,5,9.15,9.15
1,11.67,20.22,3,11.64,20.32,4,11.62,20.46,6,11.32,20.64,2,11.24,20.27,7,11.41,20.66,5,11.43,20.58
2,10.43,30.65,3,10.43,30.75,4,10.38,30.84,5,10.33,30.97,1,10.31,30.58,7,10.51,31.17,6,10.46,31.04
1,10.89,41.54,3,10.97,41.72,5,10.99,41.83,4,10.83,41.80,2,10.98,41.56,7,10.93,42.10,6,10.94,41.98
1,10.26,51.80,3,10.28,52.00,5,10.36,52.19,4,10.29,52.09,2,10.33,51.89,7,10.28,52.38,6,10.30,52.28
1,10.36,1:02.16,2,10.26,1:02.26,5,10.36,1:02.55,3,10.25,1:02.34,4,10.47,1:02.36,7,10.45,1:02.83,6,10.41,1:02.69
1,10.37,1:12.53,2,10.40,1:12.66,4,10.28,1:12.83,3,10.42,1:12.76,5,10.60,1:12.96,7,10.33,1:13.16,6,10.36,1:13.05
1,10.35,1:22.88,3,10.37,1:23.03,4,10.36,1:23.19,2,10.24,1:23.00,5,10.34,1:23.30,7,10.34,1:23.50,6,10.35,1:23.40
1,9.96,1:32.84,2,9.92,1:32.95,4,9.97,1:33.16,3,10.06,1:33.06,5,10.00,1:33.30,7,10.00,1:33.50,6,10.00,1:33.40
1,9.36,1:42.20,2,9.39,1:42.34,4,9.37,1:42.53,3,9.39,1:42.45,5,9.37,1:42.67,7,9.48,1:42.98,6,9.46,1:42.86
1,9.05,1:51.25,2,9.06,1:51.40,4,9.06,1:51.59,3,9.06,1:51.51,5,9.05,1:51.72,6,8.86,1:51.84,7,9.19,1:52.05
1,9.05,2:00.30,2,9.03,2:00.43,4,9.02,2:00.61,3,9.01,2:00.52,5,8.98,2:00.70,6,9.03,2:00.87,7,9.45,2:01.50
1,9.26,2:09.56,2,9.33,2:09.76,4,9.33,2:09.94,3,9.28,2:09.80,5,9.29,2:09.99,6,9.29,2:10.16,7,10.01,2:11.51
1,9.29,2:18.844,4,9.51,2:19.270,5,9.56,2:19.499,2,9.35,2:19.147,3,9.20,2:19.190,6,9.45,2:19.605,7,10.74,2:22.248
