Milos APELTAUER POSITION,Milos APELTAUER LAP TIME,Milos APELTAUER ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,James RODOWSKY POSITION,James RODOWSKY LAP TIME,James RODOWSKY ELAPSED TIME,Boris FRANKOVIC POSITION,Boris FRANKOVIC LAP TIME,Boris FRANKOVIC ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
4,9.29,9.29,2,9.16,9.16,5,9.32,9.32,3,9.21,9.21,6,9.61,9.61,1,9.05,9.05,7,9.86,9.86
4,13.97,23.26,3,13.95,23.11,5,14.05,23.37,1,13.62,22.83,6,13.96,23.57,2,13.92,22.97,7,13.93,23.79
4,14.33,37.59,3,14.36,37.47,5,14.33,37.70,1,14.38,37.21,6,14.25,37.82,2,14.38,37.35,7,14.20,37.99
4,14.34,51.93,3,14.31,51.78,5,14.38,52.08,1,14.28,51.49,6,14.40,52.22,2,14.26,51.61,7,14.37,52.36
1,13.15,1:05.08,5,13.61,1:05.39,4,13.12,1:05.20,3,13.65,1:05.14,6,13.34,1:05.56,2,13.49,1:05.10,7,13.37,1:05.73
1,11.59,1:16.67,3,11.42,1:16.81,4,11.67,1:16.87,6,11.85,1:16.99,7,11.60,1:17.16,2,11.65,1:16.75,5,11.18,1:16.91
3,10.42,1:27.09,2,10.17,1:26.98,5,10.28,1:27.15,6,10.30,1:27.29,7,10.20,1:27.36,4,10.38,1:27.13,1,9.99,1:26.90
6,10.39,1:37.48,2,10.10,1:37.08,4,10.05,1:37.20,5,10.09,1:37.38,7,10.23,1:37.59,3,10.02,1:37.15,1,10.16,1:37.06
7,10.14,1:47.62,1,10.18,1:47.26,3,10.18,1:47.38,6,10.24,1:47.62,4,9.82,1:47.41,5,10.34,1:47.49,2,10.29,1:47.35
6,9.21,1:56.83,1,8.81,1:56.07,7,28.78,2:16.16,5,9.08,1:56.70,3,8.94,1:56.35,4,9.20,1:56.69,2,8.95,1:56.30
5,9.22,2:06.05,1,8.85,2:04.92,7,13.91,2:30.07,4,8.83,2:05.53,3,9.17,2:05.52,6,9.63,2:06.32,2,9.05,2:05.35
5,9.57,2:15.62,1,9.26,2:14.18,7,11.32,2:41.39,2,9.22,2:14.75,4,9.50,2:15.02,6,9.98,2:16.30,3,9.58,2:14.93
5,9.80,2:25.42,1,9.55,2:23.73,7,11.27,2:52.66,2,9.44,2:24.19,3,9.71,2:24.73,6,10.37,2:26.67,4,9.82,2:24.75
5,10.29,2:35.710,1,9.73,2:33.460,7,11.51,3:04.161,2,10.28,2:34.462,4,10.80,2:35.527,6,11.10,2:37.767,3,10.28,2:35.021
