IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,Peter RICHES POSITION,Peter RICHES LAP TIME,Peter RICHES ELAPSED TIME,KWOK Tsz Fung POSITION,KWOK Tsz Fung LAP TIME,KWOK Tsz Fung ELAPSED TIME,Stefan-Teodor FRIGHENCIU POSITION,Stefan-Teodor FRIGHENCIU LAP TIME,Stefan-Teodor FRIGHENCIU ELAPSED TIME
2,14.33,14.33,3,14.54,14.54,1,14.13,14.13,4,14.72,14.72,5,14.96,
3,9.89,24.22,2,9.59,24.13,1,9.97,24.10,4,9.74,24.46,5,10.23,
3,9.23,33.45,1,9.12,33.25,2,9.24,33.34,4,9.29,33.75,5,10.27,
3,9.43,42.88,1,9.38,42.63,2,9.44,42.78,4,9.50,43.25,5,10.82,
3,9.12,52.00,1,9.09,51.72,2,9.09,51.87,4,9.46,52.71,5,11.40,
3,8.81,1:00.81,1,8.85,1:00.57,2,8.93,1:00.80,4,9.76,1:02.47,5,13.14,
2,8.67,1:09.48,1,8.81,1:09.38,3,8.96,1:09.76,4,9.90,1:12.37,5,13.74,
2,8.91,1:18.39,1,8.95,1:18.33,3,9.02,1:18.78,4,10.29,1:22.66,5,12.68,
2,9.12,1:27.51,1,9.03,1:27.36,3,9.11,1:27.89,4,10.52,1:33.18,5,20.14,1:57.38
