DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,LIM Kyoung Won POSITION,LIM Kyoung Won LAP TIME,LIM Kyoung Won ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME
1,13.00,13.00,4,13.28,,2,13.11,13.11,3,13.25,13.25,6,13.59,13.59,5,13.40,13.40
2,9.64,22.64,1,9.34,,3,9.63,22.74,4,9.61,22.86,6,9.60,23.19,5,9.56,22.96
3,9.10,31.74,1,9.05,,2,8.99,31.73,4,9.06,31.92,6,8.99,32.18,5,9.05,32.01
3,9.25,40.99,1,9.13,,2,9.17,40.90,5,9.28,41.20,6,9.15,41.33,4,9.06,41.07
3,9.07,50.06,2,9.25,,1,8.99,49.89,4,9.10,50.30,6,9.15,50.48,5,9.32,50.39
2,8.92,58.98,3,9.03,,1,8.99,58.88,4,9.08,59.38,5,9.05,59.53,6,9.17,59.56
6,23.84,1:22.82,2,9.11,,1,9.06,1:07.94,4,9.04,1:08.42,2,8.66,1:08.19,5,9.12,1:08.68
6,18.72,1:41.54,3,9.29,,1,9.29,1:17.23,4,9.15,1:17.57,2,9.10,1:17.29,5,9.28,1:17.96
6,12.89,1:54.43,3,9.38,,1,9.38,1:26.61,4,9.36,1:26.93,2,9.38,1:26.67,5,9.81,1:27.77
