LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,7.12,7.12,1,6.91,6.91,3,7.33,7.33,4,7.40,7.40
2,9.00,16.12,1,9.12,16.03,3,8.89,16.22,4,8.97,16.37
1,8.50,24.62,2,8.65,24.68,3,8.47,24.69,4,8.55,24.92
1,8.50,33.12,3,8.76,33.44,2,8.64,33.33,4,8.67,33.59
1,8.67,41.79,3,8.49,41.924,2,8.50,41.83,4,8.92,42.493
