Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,14.60,14.60,2,14.27,14.27,4,15.06,15.06,1,13.92,13.92
4,11.40,26.00,3,11.59,25.86,2,10.69,25.75,1,11.20,25.12
2,9.79,35.79,3,10.07,35.93,4,10.43,36.18,1,10.48,35.60
2,9.60,45.39,4,9.92,45.85,3,9.66,45.84,1,9.56,45.16
2,9.38,54.77,4,9.62,55.47,3,9.13,54.97,1,9.55,54.71
1,9.02,1:03.79,4,8.97,1:04.44,3,9.34,1:04.31,2,9.09,1:03.80
2,9.16,1:12.95,4,9.00,1:13.44,3,9.01,1:13.32,1,8.95,1:12.75
2,9.04,1:21.99,3,8.64,1:22.08,4,9.08,1:22.40,1,9.16,1:21.91
4,9.39,1:31.373,3,8.97,1:31.048,2,8.58,1:30.973,1,9.01,1:30.918
