Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME
2,12.648,12.648,5,12.753,12.753,4,12.721,12.721,1,12.267,12.267,3,12.658,12.658
3,9.777,22.425,1,9.172,21.925,4,9.723,22.443,5,10.203,22.470,2,9.735,22.393
4,9.434,31.858,1,9.722,31.647,5,9.570,32.013,2,9.220,31.690,3,9.434,31.827
5,9.530,41.388,2,9.514,41.160,3,9.201,41.214,1,9.157,40.846,4,9.538,41.364
5,9.364,50.751,1,9.220,50.379,3,9.432,50.645,2,9.623,50.468,4,9.362,50.725
5,9.170,59.921,4,9.472,59.850,1,8.611,59.256,3,9.293,59.760,2,8.941,59.666
4,9.221,1:09.142,5,9.393,1:09.243,1,8.828,1:08.084,3,8.998,1:08.758,2,8.957,1:08.622
4,9.249,1:18.390,5,9.419,1:18.662,1,9.059,1:17.143,3,8.913,1:17.671,2,8.943,1:17.565
4,9.81,1:28.194,5,10.01,1:28.665,1,9.59,1:26.730,3,9.85,1:27.518,2,9.57,1:27.128
