TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME
1,12.07,12.07,3,12.52,12.52,2,12.25,12.25,4,12.72,12.72
1,9.14,21.21,3,8.93,21.45,2,9.08,21.33,4,8.98,21.70
1,9.38,30.59,3,9.30,30.75,2,9.38,30.71,4,9.30,31.00
1,9.33,39.92,3,9.41,40.16,2,9.35,40.06,4,9.24,40.24
1,9.32,49.24,3,9.31,49.47,2,9.28,49.34,4,9.33,49.57
1,9.21,58.45,3,9.24,58.71,2,9.25,58.59,4,9.22,58.79
1,8.67,1:07.12,3,9.10,1:07.81,2,9.12,1:07.71,4,9.11,1:07.90
1,9.57,1:16.69,3,9.13,1:16.94,2,9.13,1:16.84,4,9.17,1:17.07
1,9.39,1:26.08,3,9.26,1:26.20,2,9.31,1:26.15,4,9.27,1:26.34
1,9.48,1:35.56,2,9.47,1:35.67,3,9.64,1:35.79,4,9.51,1:35.85
1,9.33,1:44.89,2,9.35,1:45.02,3,9.30,1:45.09,4,9.33,1:45.18
1,9.16,1:54.05,3,9.17,1:54.19,2,9.08,1:54.17,4,9.17,1:54.35
1,9.10,2:03.15,4,9.18,2:03.37,2,9.09,2:03.26,3,9.01,2:03.36
1,9.17,2:12.32,3,9.17,2:12.54,2,9.20,2:12.46,4,9.27,2:12.63
2,9.45,2:21.77,3,9.30,2:21.84,1,9.30,2:21.76,4,9.33,2:21.96
4,9.56,2:31.33,3,9.22,2:31.06,1,9.16,2:30.92,2,9.05,2:31.01
4,9.21,2:40.54,3,9.15,2:40.21,1,9.01,2:39.93,2,9.06,2:40.07
4,9.13,2:49.67,3,8.95,2:49.16,1,8.95,2:48.88,2,8.92,2:48.99
4,8.65,2:58.32,3,8.71,2:57.87,1,8.68,2:57.56,2,8.69,2:57.68
4,9.49,3:07.81,3,8.71,3:06.58,1,8.87,3:06.43,2,8.81,3:06.49
4,9.32,3:17.13,3,9.18,3:15.76,1,9.15,3:15.58,2,9.20,3:15.69
4,9.51,3:26.64,3,9.17,3:24.93,1,9.17,3:24.75,2,9.15,3:24.84
4,9.29,3:35.93,3,9.03,3:33.96,1,8.97,3:33.72,2,9.00,3:33.84
4,9.43,3:45.36,3,9.24,3:43.20,1,9.06,3:42.78,2,9.05,3:42.89
4,9.27,3:54.63,3,8.46,3:51.66,1,8.42,3:51.20,2,8.76,3:51.65
4,9.29,4:03.92,2,8.82,4:00.48,1,9.17,4:00.37,3,8.95,4:00.60
4,9.40,4:13.32,2,9.13,4:09.61,1,9.10,4:09.47,3,9.18,4:09.78
4,9.54,4:22.86,3,9.24,4:18.85,2,9.14,4:18.61,1,8.64,4:18.42
4,9.62,4:32.48,3,8.87,4:27.72,2,8.84,4:27.45,1,8.92,4:27.34
4,9.49,4:41.97,3,8.89,4:36.61,1,8.95,4:36.40,2,9.09,4:36.43
4,9.65,4:51.62,3,8.74,4:45.35,1,8.69,4:45.09,2,8.83,4:45.26
4,9.36,5:00.98,3,8.83,4:54.18,1,8.86,4:53.95,2,8.79,4:54.05
4,9.46,5:10.44,3,8.97,5:03.15,1,9.07,5:03.02,2,9.02,5:03.07
4,9.80,5:20.24,3,9.05,5:12.20,2,8.87,5:11.89,1,8.69,5:11.76
4,9.83,5:30.07,3,8.83,5:21.03,2,8.93,5:20.82,1,8.91,5:20.67
4,9.52,5:39.59,3,9.07,5:30.10,2,8.55,5:29.37,1,8.65,5:29.32
4,9.31,5:48.90,3,8.50,5:38.60,1,8.40,5:37.77,2,8.82,5:38.14
4,9.48,5:58.38,3,8.57,5:47.17,1,8.59,5:46.36,2,8.66,5:46.80
4,9.58,6:07.96,3,8.54,5:55.71,1,8.86,5:55.22,2,8.55,5:55.35
4,9.90,6:17.86,3,8.90,6:04.61,1,8.84,6:04.06,2,8.80,6:04.15
4,9.75,6:27.61,3,8.71,6:13.32,1,8.91,6:12.97,2,8.89,6:13.04
4,9.59,6:37.20,3,9.16,6:22.48,1,9.02,6:21.99,2,9.02,6:22.06
4,9.70,6:46.90,3,8.56,6:31.04,1,8.52,6:30.51,2,8.80,6:30.86
4,9.59,6:56.49,3,8.54,6:39.58,1,8.69,6:39.20,2,8.62,6:39.48
4,9.71,7:06.193,3,8.58,6:48.154,1,8.73,6:47.926,2,8.54,6:48.020
