LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
2,7.19,7.19,1,6.92,6.92,4,7.41,7.41,5,7.61,7.61,3,7.32,7.32
2,8.95,16.14,1,9.13,16.05,3,9.12,16.53,5,9.23,16.84,4,9.30,16.62
1,8.56,24.70,2,8.80,24.85,3,8.63,25.16,5,8.60,25.44,4,8.69,25.31
1,8.68,33.38,2,8.76,33.61,3,8.62,33.78,5,8.70,34.14,4,8.76,34.07
1,8.82,42.20,2,8.85,42.46,3,8.71,42.493,5,9.26,43.405,4,8.83,42.904
