Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Ann Veronique MICHAUD POSITION,Ann Veronique MICHAUD LAP TIME,Ann Veronique MICHAUD ELAPSED TIME
1,14.82,14.82,2,14.93,14.93,3,15.03,15.03,4,15.14,15.14
2,12.03,26.85,1,11.86,26.79,3,11.92,26.95,4,11.87,27.01
4,11.63,38.48,2,11.56,38.35,3,11.49,38.44,1,11.25,38.26
4,11.57,50.05,2,11.46,49.81,3,11.45,49.89,1,11.47,49.73
4,10.67,1:00.72,1,10.58,1:00.39,2,10.61,1:00.50,3,10.77,1:00.50
4,9.57,1:10.29,2,9.68,1:10.07,1,9.34,1:09.84,3,9.67,1:10.17
4,9.67,1:19.96,2,9.66,1:19.73,1,9.66,1:19.50,3,9.65,1:19.82
4,9.57,1:29.53,2,9.64,1:29.37,1,9.76,1:29.26,3,9.64,1:29.46
4,9.90,1:39.426,2,9.94,1:39.310,1,9.79,1:39.047,3,9.96,1:39.416
