Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,Jonathan SERMENO POSITION,Jonathan SERMENO LAP TIME,Jonathan SERMENO ELAPSED TIME,Peter ANDERL POSITION,Peter ANDERL LAP TIME,Peter ANDERL ELAPSED TIME
2,13.31,13.31,4,13.39,13.39,1,13.21,13.21,3,13.37,13.37
3,10.04,23.35,4,10.28,23.67,2,10.04,23.26,1,9.76,23.14
3,10.14,33.50,4,10.04,33.72,2,10.15,33.42,1,10.15,33.29
3,10.33,43.83,4,10.18,43.91,2,10.21,43.64,1,10.26,43.55
3,9.49,53.33,4,9.71,53.62,2,9.56,53.20,1,9.57,53.12
2,9.15,1:02.48,4,9.45,1:03.07,1,9.08,1:02.28,3,9.36,1:02.49
2,9.20,1:11.68,4,9.71,1:12.79,1,9.30,1:11.59,3,9.35,1:11.84
2,9.45,1:21.13,4,10.33,1:23.12,1,9.46,1:21.05,3,9.54,1:21.39
2,9.91,1:31.038,4,10.49,1:33.609,1,9.97,1:31.019,3,10.03,1:31.412
