CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
1,13.14,13.14,2,13.28,,4,13.52,13.52,5,13.66,13.66,6,13.74,13.74,3,13.38,13.38
1,10.31,23.45,3,10.25,,6,10.24,23.76,2,9.86,23.52,4,9.86,23.60,5,10.25,23.63
2,9.46,32.91,4,9.53,,6,9.57,33.33,1,9.27,32.79,3,9.37,32.97,5,9.53,33.16
1,9.50,42.41,4,9.65,,6,9.67,43.00,3,9.76,42.55,2,9.54,42.51,5,9.69,42.85
1,9.47,51.88,3,9.50,,5,9.44,52.44,6,10.37,52.92,2,9.49,52.00,4,9.48,52.33
1,9.43,1:01.31,3,9.44,,5,9.41,1:01.85,6,10.12,1:03.04,2,9.43,1:01.43,4,9.45,1:01.78
1,9.34,1:10.65,3,9.23,,5,9.29,1:11.14,6,10.69,1:13.73,2,9.33,1:10.76,4,9.31,1:11.09
1,9.39,1:20.04,3,9.38,,4,9.36,1:20.50,6,12.21,1:25.94,2,9.39,1:20.15,5,9.58,1:20.67
1,9.55,1:29.580,3,9.52,,3,9.66,1:30.137,5,12.89,1:38.813,2,9.51,1:29.648,4,9.65,1:30.308
