Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME
2,14.41,14.41,4,14.51,14.51,1,14.31,14.31,3,14.47,14.47
3,10.96,25.37,4,11.02,25.53,2,10.94,25.25,1,10.68,25.15
2,10.60,35.97,4,10.62,36.15,1,10.67,35.92,3,10.84,35.99
1,9.66,45.63,3,9.76,45.91,2,9.72,45.64,4,10.12,46.11
3,10.06,55.69,2,9.66,55.57,1,9.82,55.46,4,9.85,55.96
3,9.62,1:05.31,2,9.69,1:05.26,1,9.65,1:05.11,4,9.87,1:05.83
3,9.49,1:14.80,2,9.45,1:14.71,1,9.52,1:14.63,4,10.22,1:16.05
3,9.60,1:24.40,2,9.55,1:24.26,1,9.56,1:24.19,4,10.72,1:26.77
3,9.68,1:34.08,2,9.74,1:34.00,1,9.71,1:33.90,4,11.18,1:37.95
