LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
3,7.08,7.08,1,6.86,6.86,2,7.05,7.05
0,,,1,9.39,16.25,2,9.33,16.38
1,0.00,24.66,2,8.80,25.06,3,9.07,25.46
1,9.11,33.77,2,8.94,34.00,3,9.52,34.98
2,10.37,44.138,1,9.37,43.363,3,9.41,44.389
