Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Daniela VLAEVA POSITION,Daniela VLAEVA LAP TIME,Daniela VLAEVA ELAPSED TIME
3,19.958,19.958,2,19.899,19.899,1,19.668,19.668,4,20.077,20.077
2,14.102,34.060,3,14.302,34.201,1,14.362,34.030,4,14.289,34.366
1,12.735,46.794,2,12.629,46.829,3,12.975,47.004,4,12.783,47.149
3,11.030,57.824,4,11.022,57.850,1,10.535,57.539,2,10.674,57.823
3,9.906,1:07.730,2,9.848,1:07.698,1,10.112,1:07.651,4,9.997,1:07.820
4,9.897,1:17.626,1,9.827,1:17.525,3,9.938,1:17.588,2,9.764,1:17.583
3,9.819,1:27.444,1,9.843,1:27.368,2,9.836,1:27.424,4,10.002,1:27.584
4,9.967,1:37.411,1,9.518,1:36.886,2,9.589,1:37.013,3,9.456,1:37.039
4,9.59,1:46.998,1,9.47,1:46.352,2,9.55,1:46.557,3,9.88,1:46.914
