Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
2,13.79,13.79,3,13.97,13.97,4,14.11,14.11,1,13.68,13.68
1,10.51,24.30,3,10.68,24.65,4,10.65,24.76,2,10.73,24.41
1,10.96,35.26,3,10.90,35.55,4,10.89,35.65,2,10.90,35.31
2,10.54,45.80,3,10.42,45.97,4,10.44,46.09,1,10.38,45.69
1,10.59,56.39,3,10.77,56.74,4,10.77,56.86,2,10.81,56.50
1,10.35,1:06.74,3,10.29,1:07.03,4,10.31,1:07.17,2,10.34,1:06.84
1,10.01,1:16.75,3,9.86,1:16.89,4,9.87,1:17.04,2,10.03,1:16.87
2,9.73,1:26.48,1,9.41,1:26.30,4,9.74,1:26.78,3,9.81,1:26.68
2,9.79,1:36.269,1,9.75,1:36.044,3,9.72,1:36.492,4,10.14,1:36.811
