UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME
1,12.183,12.183,2,12.269,12.269,3,12.294,12.294,4,12.476,12.476
3,9.681,21.864,1,9.268,21.537,2,9.542,21.836,4,9.708,22.184
2,9.105,30.969,1,9.067,30.604,3,9.245,31.081,4,9.315,31.498
2,9.359,40.327,1,9.049,39.653,3,9.421,40.501,4,9.306,40.804
2,9.520,49.846,1,9.095,48.748,3,9.366,49.867,4,9.341,50.145
2,9.274,59.120,1,8.877,57.624,3,9.298,59.164,4,9.367,59.511
2,9.373,1:08.492,1,9.241,1:06.864,3,9.406,1:08.570,4,9.493,1:09.004
2,9.456,1:17.948,1,9.144,1:16.008,3,9.550,1:18.119,4,9.421,1:18.424
2,9.487,1:27.434,1,9.250,1:25.257,3,9.507,1:27.626,4,9.619,1:28.043
2,9.525,1:36.959,1,9.158,1:34.415,3,9.513,1:37.138,4,9.204,1:37.246
3,9.638,1:46.597,1,9.186,1:43.600,4,9.622,1:46.760,2,9.270,1:46.515
3,9.554,1:56.150,1,9.308,1:52.908,4,9.566,1:56.326,2,9.135,1:55.650
3,9.553,2:05.702,1,9.256,2:02.163,4,9.388,2:05.714,2,9.119,2:04.768
3,9.493,2:15.195,1,9.316,2:11.479,4,9.732,2:15.445,2,9.022,2:13.789
3,9.348,2:24.543,1,8.934,2:20.413,4,9.254,2:24.698,2,9.211,2:23.000
3,9.554,2:34.097,1,9.138,2:29.550,4,9.476,2:34.174,2,9.361,2:32.361
3,9.583,2:43.679,1,9.206,2:38.755,4,9.616,2:43.790,2,9.447,2:41.807
3,9.701,2:53.379,1,9.482,2:48.237,4,9.843,2:53.632,2,9.397,2:51.204
3,9.564,3:02.943,1,9.401,2:57.637,4,9.576,3:03.208,2,9.418,3:00.621
3,9.470,3:12.412,1,9.421,3:07.057,4,9.791,3:12.998,2,9.435,3:10.055
3,9.542,3:21.954,1,9.175,3:16.232,4,9.710,3:22.708,2,9.560,3:19.615
3,9.725,3:31.679,1,9.152,3:25.384,4,9.721,3:32.429,2,9.675,3:29.290
3,9.853,3:41.531,1,9.330,3:34.714,4,9.881,3:42.310,2,9.539,3:38.828
3,9.818,3:51.349,1,9.618,3:44.331,4,10.186,3:52.496,2,9.689,3:48.517
3,9.773,4:01.121,1,9.439,3:53.770,4,10.011,4:02.507,2,9.549,3:58.065
3,9.776,4:10.896,1,9.418,4:03.187,4,10.191,4:12.698,2,9.657,4:07.722
3,9.598,4:20.494,1,9.110,4:12.297,4,10.261,4:22.958,2,9.562,4:17.283
3,9.938,4:30.431,1,9.130,4:21.426,4,10.038,4:32.996,2,9.758,4:27.041
3,10.067,4:40.498,1,9.228,4:30.654,4,10.788,4:43.783,2,9.650,4:36.690
3,10.061,4:50.559,1,9.517,4:40.170,4,10.638,4:54.420,2,9.555,4:46.245
3,10.070,5:00.628,1,9.425,4:49.595,4,10.125,5:04.545,2,9.944,4:56.189
3,10.060,5:10.688,1,9.628,4:59.222,4,10.398,5:14.943,2,9.872,5:06.060
3,9.750,5:20.437,1,9.433,5:08.655,4,10.192,5:25.135,2,9.569,5:15.629
3,10.044,5:30.480,1,9.275,5:17.929,4,10.818,5:35.952,2,9.723,5:25.352
3,10.141,5:40.621,1,9.286,5:27.215,4,10.963,5:46.915,2,9.602,5:34.954
3,10.147,5:50.768,1,9.433,5:36.647,4,10.831,5:57.745,2,9.619,5:44.572
3,10.157,6:00.924,1,9.521,5:46.168,4,9.915,6:07.659,2,9.820,5:54.392
3,9.994,6:10.917,1,9.696,5:55.863,4,10.335,6:17.994,2,9.818,6:04.210
3,9.859,6:20.775,1,9.590,6:05.453,4,10.434,6:28.427,2,9.760,6:13.969
3,10.438,6:31.213,1,9.594,6:15.046,4,10.818,6:39.245,2,9.769,6:23.738
3,10.473,6:41.686,1,9.517,6:24.563,4,10.789,6:50.033,2,10.042,6:33.779
3,10.379,6:52.064,1,9.559,6:34.121,4,10.861,7:00.894,2,9.808,6:43.587
3,10.077,7:02.141,1,9.395,6:43.515,4,10.254,7:11.147,2,9.933,6:53.520
3,10.022,7:12.163,1,9.853,6:53.368,4,10.450,7:21.597,2,9.867,7:03.387
3,10.63,7:22.785,1,10.09,7:03.457,4,12.47,7:34.067,2,10.95,7:14.328
