SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME
2,13.07,13.07,3,13.22,13.22,1,13.01,13.01,4,13.32,,4,13.32,13.32
2,9.71,22.78,4,9.69,22.91,1,9.67,22.68,5,9.75,,3,9.57,22.89
2,9.62,32.40,4,9.75,32.66,1,9.62,32.30,5,9.73,,3,9.63,32.52
2,9.84,42.24,4,9.84,42.50,1,9.85,42.15,5,9.79,,3,9.83,42.35
2,9.84,52.08,5,9.89,52.39,1,9.89,52.04,3,9.59,,4,9.93,52.28
1,9.25,1:01.33,5,9.36,1:01.75,2,9.44,1:01.48,3,9.39,,4,9.32,1:01.60
1,9.17,1:10.50,5,9.22,1:10.97,3,9.35,1:10.83,4,9.29,,2,9.20,1:10.80
1,9.29,1:19.79,4,9.62,1:20.59,5,11.08,1:21.91,3,9.53,,2,9.08,1:19.88
1,9.46,1:29.255,3,9.70,1:30.291,4,12.09,1:34.002,3,9.20,,2,9.42,1:29.301
