KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
5,10.45,10.45,4,10.29,10.29,2,9.88,9.88,3,10.14,10.14,7,10.79,10.79,1,9.67,9.67,6,10.58,10.58
2,13.59,24.04,1,13.67,23.96,4,14.33,24.21,5,14.24,24.38,7,13.88,24.67,3,14.38,24.05,6,13.97,24.55
2,12.16,36.20,1,12.18,36.14,5,12.19,36.40,4,11.91,36.29,7,11.99,36.66,3,12.21,36.26,6,11.98,36.53
1,11.62,47.82,4,11.98,48.12,5,11.87,48.27,2,11.66,47.95,7,11.89,48.55,3,11.85,48.11,6,11.87,48.40
2,10.57,58.39,4,10.68,58.80,5,10.64,58.91,3,10.60,58.55,7,10.63,59.18,1,10.09,58.20,6,10.63,59.03
2,10.29,1:08.68,4,10.19,1:08.99,5,10.20,1:09.11,3,10.25,1:08.80,7,10.17,1:09.35,1,10.34,1:08.54,6,10.21,1:09.24
2,10.74,1:19.42,3,10.54,1:19.53,5,10.62,1:19.73,4,10.76,1:19.56,7,10.63,1:19.98,1,10.74,1:19.28,6,10.62,1:19.86
3,9.83,1:29.25,1,9.62,1:29.15,5,9.84,1:29.57,4,9.89,1:29.45,7,9.84,1:29.82,2,9.95,1:29.23,6,9.83,1:29.69
1,9.40,1:38.65,2,9.74,1:38.89,5,9.67,1:39.24,4,9.69,1:39.14,7,9.60,1:39.42,3,9.76,1:38.99,6,9.64,1:39.33
1,9.78,1:48.43,2,9.68,1:48.57,5,9.62,1:48.86,3,9.55,1:48.69,7,9.70,1:49.12,4,9.71,1:48.70,6,9.67,1:49.00
2,9.72,1:58.15,1,9.42,1:57.99,4,9.46,1:58.32,5,9.64,1:58.33,7,9.55,1:58.67,3,9.53,1:58.23,6,9.56,1:58.56
3,9.44,2:07.59,1,9.42,2:07.41,2,9.26,2:07.58,5,9.52,2:07.85,7,9.45,2:08.12,4,9.46,2:07.69,6,9.30,2:07.86
5,9.65,2:17.24,2,9.44,2:16.85,1,9.14,2:16.72,6,9.56,2:17.41,7,9.45,2:17.57,3,9.41,2:17.10,4,9.33,2:17.19
7,10.41,2:27.654,2,9.47,2:26.32,1,9.50,2:26.22,5,9.52,2:26.93,6,9.51,2:27.083,0,9.64,2:26.74,0,9.55,2:26.74
