LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Alexander BUBNOV POSITION,Alexander BUBNOV LAP TIME,Alexander BUBNOV ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME
6,10.92,10.92,3,10.23,10.23,1,9.81,9.81,5,10.71,10.71,4,10.34,10.34,2,10.09,10.09
6,14.10,25.02,4,14.31,24.54,1,14.31,24.12,5,14.09,24.80,2,13.88,24.22,3,14.31,24.40
6,12.95,37.97,4,12.91,37.45,1,12.81,36.93,5,12.95,37.75,2,12.82,37.04,3,12.94,37.34
6,12.03,50.00,4,12.12,49.57,1,12.22,49.15,5,12.05,49.80,2,12.23,49.27,3,12.12,49.46
6,11.94,1:01.94,3,11.85,1:01.42,1,12.04,1:01.19,5,11.93,1:01.73,2,12.05,1:01.32,4,12.04,1:01.50
6,10.48,1:12.42,1,10.32,1:11.74,2,10.63,1:11.82,5,10.52,1:12.25,3,10.60,1:11.92,4,10.56,1:12.06
6,10.48,1:22.90,2,10.70,1:22.44,3,10.71,1:22.53,5,10.52,1:22.77,1,10.33,1:22.25,4,10.55,1:22.61
6,9.87,1:32.77,4,10.05,1:32.49,2,9.87,1:32.40,5,9.74,1:32.51,3,10.15,1:32.40,1,9.68,1:32.29
6,9.40,1:42.17,5,9.54,1:42.03,1,9.34,1:41.74,3,9.32,1:41.83,4,9.51,1:41.91,2,9.48,1:41.77
6,9.45,1:51.62,5,9.43,1:51.46,2,9.46,1:51.20,1,9.20,1:51.03,4,9.52,1:51.43,3,9.51,1:51.28
4,9.15,2:00.77,5,9.35,2:00.81,2,9.38,2:00.58,1,9.36,2:00.39,6,9.73,2:01.16,3,9.41,2:00.69
2,9.35,2:10.12,4,9.41,2:10.22,5,9.79,2:10.37,1,9.66,2:10.05,6,10.12,2:11.28,3,9.45,2:10.14
1,9.91,2:20.03,2,9.92,2:20.14,3,9.90,2:20.27,5,21.45,2:31.50,4,10.52,2:21.80,6,21.75,2:31.89
1,9.91,2:29.938,2,9.98,2:30.113,3,9.97,2:30.236,5,12.69,2:44.183,4,11.36,2:33.154,0,,PEN
