Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
1,7.45,7.45,2,7.62,7.62,3,7.74,7.74,4,7.88,7.88
1,9.95,17.40,2,9.90,17.52,3,9.91,17.65,4,9.87,17.75
1,9.59,26.99,2,9.55,27.07,3,9.48,27.13,4,9.53,27.28
1,9.74,36.73,3,9.82,36.89,2,9.68,36.81,4,9.79,37.07
2,10.09,46.813,3,10.02,46.905,1,9.80,46.603,4,9.93,46.991
