LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,7.21,7.21,1,6.89,6.89,3,7.38,7.38,3,7.38,7.38
2,8.87,16.08,1,9.00,15.89,4,9.28,16.66,3,9.13,16.51
2,8.46,24.54,1,8.59,24.48,4,8.52,25.18,3,8.57,25.08
1,8.65,33.19,2,8.72,33.20,4,8.73,33.91,3,8.82,33.90
1,8.69,41.88,2,8.96,42.16,3,8.84,42.75,4,9.19,43.068
