SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,de CLEMENTE Clayton POSITION,de CLEMENTE Clayton LAP TIME,de CLEMENTE Clayton ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
3,13.66,13.66,2,13.58,13.58,5,13.96,13.96,4,13.85,13.85,1,13.50,13.50
3,10.21,23.87,2,10.23,23.81,5,10.08,24.04,3,10.02,23.87,1,10.21,23.71
5,14.51,38.38,2,10.13,33.94,4,10.33,34.37,3,10.19,34.06,1,10.09,33.80
5,10.85,49.23,2,9.81,43.75,4,9.74,44.11,3,9.87,43.93,1,9.83,43.63
5,10.04,59.27,1,9.06,52.81,4,9.43,53.54,3,9.13,53.06,2,9.22,52.85
5,10.78,1:10.05,1,9.18,1:01.99,4,9.47,1:03.01,3,9.18,1:02.24,2,9.28,1:02.13
5,11.88,1:21.93,1,8.94,1:10.93,4,9.97,1:12.98,3,9.09,1:11.33,2,8.92,1:11.05
5,11.68,1:33.61,1,8.73,1:19.66,4,10.79,1:23.77,3,9.15,1:20.48,2,8.72,1:19.77
5,11.90,1:45.51,2,9.05,1:28.71,4,11.58,1:35.35,3,9.45,1:29.93,1,8.90,1:28.67
