DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,Petra JASIC POSITION,Petra JASIC LAP TIME,Petra JASIC ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME
4,14.49,14.49,5,14.68,,1,14.02,14.02,2,14.16,14.16,3,14.27,14.27
4,10.86,25.35,5,10.78,,1,11.00,25.02,2,10.98,25.14,3,10.94,25.21
4,11.01,36.36,5,11.02,,1,10.93,35.95,2,10.92,36.06,3,10.89,36.10
4,10.55,46.91,5,10.66,,1,10.04,45.99,2,10.07,46.13,3,10.13,46.23
4,10.69,57.60,5,10.63,,1,9.85,55.84,2,9.78,55.91,3,9.78,56.01
4,11.07,1:08.67,5,10.99,,1,9.88,1:05.72,2,9.90,1:05.81,3,9.84,1:05.85
4,11.31,1:19.98,5,11.38,,1,9.71,1:15.43,2,9.72,1:15.53,3,9.69,1:15.54
5,25.66,1:45.64,4,11.88,,1,9.70,1:25.13,3,9.77,1:25.30,2,9.66,1:25.20
5,23.97,2:09.61,4,13.38,,1,9.93,1:35.06,3,10.00,1:35.30,2,9.97,1:35.17
