Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME
1,6.86,6.86,2,7.10,7.10,3,7.20,7.20,4,7.36,7.36
1,8.81,15.67,2,8.76,15.86,3,8.75,15.95,4,8.81,16.17
2,8.45,24.12,1,8.25,24.11,3,8.31,24.26,4,8.47,24.64
2,8.56,32.68,1,8.45,32.56,3,8.57,32.83,4,8.63,33.27
2,8.63,41.302,1,8.69,41.244,3,8.50,41.330,4,8.89,42.160
