Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME
1,9.69,9.69,4,10.03,10.03,2,9.83,9.83,3,9.83,9.83,5,10.16,10.16,6,10.19,10.19
1,14.76,24.45,5,14.90,24.93,2,14.75,24.58,3,14.90,24.73,6,14.92,25.08,4,14.72,24.91
1,13.62,38.07,5,13.73,38.66,2,13.63,38.21,4,13.63,38.36,6,13.79,38.87,3,13.38,38.29
1,13.27,51.34,6,13.37,52.03,2,13.24,51.45,4,13.33,51.69,5,12.95,51.82,3,13.26,51.55
1,13.16,1:04.50,6,13.15,1:05.18,2,13.19,1:04.64,4,13.19,1:04.88,5,13.20,1:05.02,3,13.19,1:04.74
1,12.28,1:16.78,6,12.17,1:17.35,2,12.28,1:16.92,4,12.28,1:17.16,5,12.29,1:17.31,3,12.29,1:17.03
2,10.89,1:27.67,1,10.17,1:27.52,3,10.88,1:27.80,5,10.89,1:28.05,6,10.88,1:28.19,4,10.87,1:27.90
2,10.59,1:38.26,1,10.66,1:38.18,4,10.58,1:38.38,6,10.58,1:38.63,3,10.17,1:38.36,5,10.61,1:38.51
2,10.69,1:48.95,1,10.63,1:48.81,4,10.77,1:49.15,6,10.75,1:49.38,3,10.68,1:49.04,5,10.70,1:49.21
2,10.32,1:59.27,1,10.44,1:59.25,4,10.37,1:59.52,6,10.39,1:59.77,3,10.37,1:59.41,5,10.42,1:59.63
1,9.82,2:09.09,4,10.01,2:09.26,3,9.74,2:09.26,6,9.98,2:09.75,2,9.69,2:09.10,5,10.03,2:09.66
4,9.77,2:18.86,3,9.57,2:18.83,2,9.50,2:18.76,5,10.07,2:19.82,1,9.35,2:18.45,6,10.31,2:19.97
4,9.82,2:28.68,3,9.72,2:28.55,2,9.63,2:28.39,5,10.13,2:29.95,1,9.64,2:28.09,6,11.16,2:31.13
0,,PEN,3,9.61,2:38.157,2,9.70,2:38.085,4,10.55,2:40.492,1,9.93,2:38.016,5,11.97,2:43.091
