Gellert PATAKI POSITION,Gellert PATAKI LAP TIME,Gellert PATAKI ELAPSED TIME,Alexander ZHELEZNOV POSITION,Alexander ZHELEZNOV LAP TIME,Alexander ZHELEZNOV ELAPSED TIME,Gerard WILLIAMS POSITION,Gerard WILLIAMS LAP TIME,Gerard WILLIAMS ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,BEAN Nicholas POSITION,BEAN Nicholas LAP TIME,BEAN Nicholas ELAPSED TIME,Jakov DOLINIC POSITION,Jakov DOLINIC LAP TIME,Jakov DOLINIC ELAPSED TIME
0,9.058,9.058,0,8.914,8.914,0,9.294,9.294,0,8.789,8.789,0,8.981,8.981,0,8.911,8.911
0,11.632,20.690,0,11.741,20.654,0,11.401,20.695,0,11.744,20.534,0,11.481,20.462,0,11.223,20.134
0,11.433,32.122,0,11.013,31.668,0,10.957,31.652,0,11.515,32.049,0,11.690,32.152,0,11.108,31.242
0,11.104,43.226,0,10.816,42.484,0,11.063,42.715,0,11.073,43.122,0,10.657,42.810,0,10.368,41.610
0,10.597,53.823,0,10.827,53.311,0,10.702,53.417,0,10.517,53.638,0,10.674,53.484,0,11.869,53.478
0,11.031,1:04.854,0,10.869,1:04.180,0,10.947,1:04.365,0,10.833,1:04.471,0,10.943,1:04.427,0,10.788,1:04.266
0,10.649,1:15.503,0,10.591,1:14.770,0,10.704,1:15.069,0,10.115,1:14.587,0,10.724,1:15.151,0,11.063,1:15.329
0,10.360,1:25.862,0,10.650,1:25.420,0,10.772,1:25.840,0,10.690,1:25.276,0,10.673,1:25.823,0,10.327,1:25.657
0,10.817,1:36.680,0,10.622,1:36.042,0,9.975,1:35.816,0,10.633,1:35.910,0,10.567,1:36.390,0,10.722,1:36.378
0,10.366,1:47.046,0,10.242,1:46.284,0,10.858,1:46.674,0,10.316,1:46.225,0,9.175,1:45.565,0,11.381,1:47.760
0,10.469,1:57.515,0,10.267,1:56.551,0,8.988,1:55.662,0,10.229,1:56.455,0,9.953,1:55.518,0,11.154,1:58.914
0,11.066,2:08.580,0,10.932,2:07.483,0,11.844,2:07.505,0,10.435,2:06.889,0,10.029,2:05.546,0,11.979,2:10.893
0,11.753,2:20.333,0,10.823,2:18.306,0,10.830,2:18.335,0,10.831,2:17.720,0,10.377,2:15.924,0,12.236,2:23.130
0,,,0,,,0,,,0,,,0,,,0,,
