HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,CHOE Un Song POSITION,CHOE Un Song LAP TIME,CHOE Un Song ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME
3,10.14,10.14,6,10.38,10.38,4,10.15,10.15,2,10.04,10.04,1,10.02,10.02,5,10.30,10.30,7,10.44,10.44
4,12.87,23.01,7,13.12,23.50,3,12.66,22.81,5,13.14,23.18,2,12.65,22.67,6,12.97,23.27,1,12.06,22.50
4,11.37,34.38,7,11.26,34.76,3,11.48,34.29,5,11.34,34.52,2,11.53,34.20,6,11.34,34.61,1,11.57,34.07
5,11.28,45.66,7,11.24,46.00,1,10.81,45.10,6,11.29,45.81,2,11.06,45.26,4,10.91,45.52,3,11.20,45.27
4,10.72,56.38,7,10.84,56.84,1,11.08,56.18,6,10.89,56.70,2,11.02,56.28,3,10.85,56.37,5,11.25,56.52
4,10.66,1:07.04,7,10.63,1:07.47,1,10.64,1:06.82,6,10.60,1:07.30,2,10.56,1:06.84,3,10.62,1:06.99,5,10.55,1:07.07
3,10.72,1:17.76,7,10.71,1:18.18,1,10.66,1:17.48,6,10.67,1:17.97,2,10.78,1:17.62,4,10.88,1:17.87,5,10.82,1:17.89
2,9.89,1:27.65,7,10.13,1:28.31,4,10.33,1:27.81,6,10.13,1:28.10,3,10.09,1:27.71,5,10.05,1:27.92,1,9.71,1:27.60
2,9.90,1:37.55,7,9.84,1:38.15,3,9.81,1:37.62,6,9.88,1:37.98,4,9.97,1:37.68,5,9.89,1:37.81,1,9.84,1:37.44
3,9.80,1:47.35,7,9.65,1:47.80,2,9.69,1:47.31,6,9.81,1:47.79,4,9.75,1:47.43,5,9.82,1:47.63,1,9.82,1:47.26
4,9.37,1:56.72,3,8.87,1:56.67,2,9.25,1:56.56,6,9.22,1:57.01,1,8.90,1:56.33,7,9.39,1:57.02,5,9.55,1:56.81
4,8.97,2:05.69,2,8.52,2:05.19,3,8.93,2:05.49,6,8.94,2:05.95,1,8.66,2:04.99,7,9.73,2:06.75,5,8.99,2:05.80
4,9.02,2:14.71,1,8.54,2:13.73,3,8.99,2:14.48,6,9.03,2:14.98,2,8.77,2:13.76,7,9.82,2:16.57,4,8.91,2:14.71
5,9.47,2:24.18,1,8.73,2:22.46,3,9.28,2:23.76,6,9.32,2:24.30,2,9.06,2:22.82,7,10.11,2:26.68,4,9.35,2:24.06
