Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME
3,6.87,6.87,1,6.56,6.56,4,6.92,6.92,2,6.83,6.83
2,9.04,15.91,1,8.67,15.24,4,9.43,16.36,3,9.33,16.16
2,8.58,24.49,1,8.62,23.86,4,8.61,24.97,3,8.71,24.88
3,9.28,33.77,1,9.06,32.92,2,8.27,33.25,4,9.04,33.92
2,8.42,42.186,1,9.24,42.156,3,9.26,42.504,4,9.28,43.199
