Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,13.89,13.89,3,13.91,13.91,4,13.99,13.99,1,13.84,13.84
2,10.96,24.85,1,10.92,24.83,4,10.99,24.98,3,11.08,24.92
1,10.34,35.19,2,10.42,35.25,3,10.33,35.31,4,10.43,35.35
2,9.96,45.15,3,9.97,45.22,1,9.74,45.05,4,9.89,45.24
3,9.66,54.81,2,9.56,54.78,1,9.57,54.62,4,9.68,54.92
3,9.48,1:04.29,2,9.42,1:04.20,1,9.36,1:03.98,4,9.48,1:04.40
3,9.35,1:13.64,2,9.33,1:13.53,1,9.44,1:13.42,4,9.42,1:13.82
3,9.30,1:22.94,2,9.32,1:22.85,1,9.07,1:22.49,4,9.27,1:23.09
3,9.88,1:32.815,2,9.66,1:32.503,1,9.54,1:32.027,4,26.47,1:49.558
