UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME,Dennis WALZER POSITION,Dennis WALZER LAP TIME,Dennis WALZER ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME
3,7.08,7.08,1,6.75,6.75,2,6.78,6.78,4,7.10,7.10
3,9.08,16.17,1,9.25,16.01,2,9.23,16.01,4,9.27,16.38
3,8.84,25.01,2,8.87,24.88,1,8.83,24.84,4,8.92,25.31
1,8.96,33.98,3,9.50,34.38,2,9.45,34.30,4,9.09,34.40
1,8.97,42.947,2,10.23,44.603,0,,DQ,0,,DQ
