CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
0,8.563,8.563,0,8.648,8.648,0,9.072,9.072,0,8.480,8.480,0,8.600,8.600,0,8.919,8.919,0,8.756,8.756
0,11.681,20.244,0,11.733,20.382,0,11.751,20.822,0,11.534,20.014,0,11.555,20.155,0,11.701,20.620,0,11.690,20.446
0,11.742,31.987,0,11.660,32.041,0,11.605,32.427,0,11.807,31.821,0,12.477,32.632,0,11.713,32.333,0,11.676,32.122
0,11.347,43.334,0,11.508,43.549,0,11.098,43.525,0,11.395,43.215,0,11.258,43.890,0,11.326,43.659,0,11.472,43.594
0,10.266,53.599,0,10.132,53.682,0,10.238,53.763,0,10.192,53.408,0,10.093,53.983,0,10.239,53.898,0,10.438,54.032
0,10.224,1:03.823,0,10.362,1:04.044,0,10.570,1:04.333,0,10.456,1:03.864,0,10.028,1:04.011,0,10.240,1:04.138,0,10.333,1:04.366
0,10.433,1:14.256,0,10.416,1:14.460,0,10.348,1:14.681,0,10.467,1:14.330,0,10.451,1:14.462,0,10.247,1:14.386,0,10.386,1:14.752
0,10.198,1:24.454,0,10.420,1:24.880,0,10.283,1:24.964,0,10.312,1:24.643,0,10.572,1:25.034,0,10.175,1:24.560,0,10.294,1:25.046
0,10.320,1:34.774,0,10.126,1:35.006,0,10.134,1:35.097,0,10.146,1:34.788,0,9.610,1:34.644,0,10.238,1:34.798,0,10.387,1:35.433
0,10.174,1:44.948,0,10.239,1:45.245,0,10.409,1:45.507,0,11.389,1:46.177,0,10.548,1:45.192,0,10.360,1:45.158,0,10.346,1:45.779
0,10.265,1:55.214,0,10.157,1:55.401,0,10.258,1:55.764,0,9.280,1:55.457,0,10.405,1:55.597,0,10.112,1:55.270,0,10.700,1:56.478
0,10.080,2:05.294,0,10.200,2:05.601,0,10.309,2:06.073,0,10.567,2:06.024,0,9.931,2:05.528,0,10.118,2:05.388,0,11.190,2:07.668
0,9.796,2:15.089,0,9.855,2:15.456,0,10.730,2:16.803,0,11.044,2:17.068,0,9.578,2:15.106,0,10.031,2:15.419,0,11.478,2:19.146
0,9.982,2:25.072,0,10.436,2:25.892,0,11.236,2:28.039,0,11.456,2:28.524,0,12.921,2:28.027,0,10.288,2:25.707,0,11.726,2:30.873
