ZHAO Qinyu POSITION,ZHAO Qinyu LAP TIME,ZHAO Qinyu ELAPSED TIME,KHODYREV Igor POSITION,KHODYREV Igor LAP TIME,KHODYREV Igor ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Derek GRAY POSITION,Derek GRAY LAP TIME,Derek GRAY ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,MOCLYN Remy POSITION,MOCLYN Remy LAP TIME,MOCLYN Remy ELAPSED TIME
0,13.446,13.446,0,13.295,13.295,0,12.697,12.697,0,12.821,12.821,0,12.526,12.526,0,12.543,12.543,0,13.522,13.522,0,12.989,12.989
0,10.055,23.502,0,10.042,23.337,0,10.244,22.941,0,10.266,23.087,0,10.360,22.886,0,10.351,22.894,0,10.153,23.675,0,10.192,23.181
0,11.159,34.661,0,11.235,34.572,0,11.133,34.074,0,11.160,34.247,0,11.436,34.323,0,11.037,33.931,0,11.208,34.884,0,11.347,34.528
0,11.537,46.198,0,11.444,46.016,0,11.533,45.607,0,11.435,45.682,0,11.549,45.871,0,11.610,45.540,0,11.423,46.306,0,11.443,45.970
0,11.628,57.825,0,11.745,57.760,0,11.526,57.132,0,11.806,57.488,0,11.590,57.461,0,11.998,57.538,0,11.746,58.052,0,11.756,57.726
0,11.548,1:09.373,0,11.436,1:09.196,0,11.426,1:08.559,0,11.503,1:08.991,0,11.435,1:08.896,0,11.437,1:08.975,0,11.556,1:09.608,0,11.446,1:09.172
0,11.255,1:20.628,0,11.506,1:20.702,0,11.465,1:20.023,0,11.788,1:20.779,0,11.151,1:20.047,0,11.295,1:20.270,0,11.370,1:20.977,0,11.416,1:20.588
0,11.070,1:31.698,0,11.063,1:31.765,0,11.054,1:31.077,0,10.609,1:31.388,0,11.006,1:31.053,0,10.987,1:31.257,0,11.009,1:31.987,0,10.895,1:31.482
0,11.031,1:42.729,0,11.352,1:43.116,0,11.142,1:42.219,0,11.198,1:42.585,0,11.180,1:42.233,0,11.187,1:42.443,0,11.034,1:43.021,0,11.178,1:42.660
0,11.472,1:54.202,0,11.447,1:54.563,0,11.479,1:53.698,0,11.598,1:54.183,0,11.817,1:54.050,0,11.538,1:53.982,0,11.549,1:54.570,0,11.480,1:54.141
0,11.433,2:05.635,0,11.557,2:06.120,0,11.313,2:05.011,0,11.293,2:05.476,0,11.449,2:05.499,0,11.297,2:05.278,0,11.427,2:05.996,0,11.387,2:05.527
0,11.239,2:16.874,0,11.264,2:17.384,0,11.597,2:16.608,0,11.080,2:16.556,0,11.229,2:16.728,0,11.282,2:16.560,0,11.134,2:17.130,0,11.177,2:16.704
0,11.350,2:28.224,0,11.854,2:29.238,0,11.419,2:28.027,0,11.264,2:27.820,0,11.181,2:27.909,0,11.213,2:27.773,0,11.512,2:28.642,0,11.056,2:27.759
0,10.831,2:39.055,0,12.347,2:41.585,0,10.624,2:38.651,0,10.878,2:38.698,0,13.093,2:41.002,0,10.816,2:38.589,0,10.624,2:39.266,0,17.809,2:45.569
0,11.019,2:50.074,0,12.434,2:54.019,0,11.125,2:49.776,0,11.106,2:49.804,0,11.547,2:52.550,0,11.158,2:49.747,0,11.102,2:50.368,0,12.565,2:58.134
0,11.568,3:01.642,0,12.517,3:06.536,0,11.830,3:01.606,0,11.621,3:01.425,0,10.914,3:03.463,0,11.366,3:01.113,0,11.634,3:02.001,0,11.395,3:09.528
0,11.613,3:13.255,0,12.834,3:19.370,0,11.687,3:13.292,0,11.776,3:13.201,0,10.755,3:14.219,0,12.018,3:13.132,0,11.724,3:13.725,0,11.232,3:20.760
0,11.504,3:24.759,0,12.697,3:32.067,0,11.406,3:24.698,0,11.421,3:24.622,0,11.270,3:25.489,0,11.360,3:24.491,0,11.441,3:25.167,0,11.405,3:32.166
0,11.153,3:35.912,0,12.896,3:44.963,0,10.986,3:35.684,0,11.167,3:35.789,0,11.138,3:36.627,0,11.145,3:35.636,0,10.819,3:35.985,0,11.064,3:43.230
0,10.409,3:46.321,0,13.573,3:58.535,0,19.767,3:55.451,0,10.355,3:46.144,0,11.278,3:47.905,0,10.755,3:46.391,0,10.921,3:46.906,0,11.713,3:54.943
0,10.446,3:56.767,0,13.516,4:12.052,0,21.264,4:16.715,0,10.573,3:56.716,0,11.543,3:59.449,0,10.225,3:56.616,0,9.936,3:56.842,0,12.055,4:06.998
0,10.510,4:07.277,0,12.600,4:24.651,0,12.994,4:29.709,0,10.917,4:07.633,0,11.682,4:11.131,0,10.559,4:07.175,0,10.653,4:07.496,0,12.590,4:19.588
0,10.005,4:17.282,0,13.570,4:38.221,0,11.440,4:41.149,0,9.812,4:17.445,0,12.047,4:23.178,0,11.182,4:18.356,0,10.057,4:17.553,0,12.531,4:32.119
0,9.308,4:26.591,0,13.864,4:52.085,0,11.200,4:52.349,0,9.855,4:27.299,0,12.123,4:35.300,0,8.593,4:26.949,0,10.036,4:27.588,0,12.739,4:44.858
0,9.730,4:36.320,0,13.269,5:05.354,0,16.257,5:08.606,0,10.139,4:37.438,0,12.073,4:47.373,0,9.567,4:36.517,0,10.257,4:37.845,0,12.666,4:57.523
0,9.806,4:46.126,0,12.924,5:18.277,0,7.205,5:15.811,0,10.870,4:48.309,0,11.648,4:59.021,0,9.940,4:46.457,0,10.138,4:47.983,0,13.940,5:11.463
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
