Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME
4,14.383,14.383,1,14.180,14.180,2,14.277,14.277,3,14.315,14.315
4,10.849,25.232,2,10.851,25.031,1,10.627,24.904,3,10.839,25.154
4,10.387,35.619,2,10.477,35.507,1,10.504,35.408,3,10.387,35.540
3,10.476,46.094,1,10.520,46.026,4,10.857,46.264,2,10.504,46.043
4,10.455,56.549,2,10.193,56.219,1,9.854,56.118,3,10.324,56.367
4,9.820,1:06.369,2,9.779,1:05.998,1,9.835,1:05.953,3,9.837,1:06.203
4,10.115,1:16.484,2,9.816,1:15.813,1,9.744,1:15.696,3,9.720,1:15.923
4,10.296,1:26.779,2,9.546,1:25.359,3,9.786,1:25.482,1,9.331,1:25.253
4,11.04,1:37.819,1,9.38,1:34.730,3,9.94,1:35.418,2,9.65,1:34.896
