Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
2,6.90,6.90,1,6.70,6.70,3,7.14,7.14,4,7.20,7.20
2,9.02,15.92,1,8.97,15.67,3,8.98,16.12,4,9.00,16.20
2,8.51,24.43,1,8.68,24.35,3,8.51,24.63,4,8.59,24.79
2,8.70,33.13,1,8.75,33.10,3,8.63,33.26,4,8.79,33.58
1,8.91,42.031,3,9.28,42.373,2,8.84,42.094,4,8.91,42.489
