AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
1,16.686,16.686,3,16.949,16.949,4,17.185,17.185,2,16.941,16.941
3,11.711,28.397,2,11.437,28.386,4,11.315,28.500,1,10.696,27.636
2,10.038,38.435,3,10.174,38.560,4,10.349,38.848,1,9.907,37.543
2,9.210,47.645,3,9.424,47.983,4,10.049,48.897,1,9.710,47.252
2,9.313,56.957,3,9.370,57.353,4,10.576,59.473,1,9.669,56.921
2,10.037,1:06.994,3,9.839,1:07.191,4,10.926,1:10.398,1,9.887,1:06.808
4,18.671,1:25.665,2,9.630,1:16.821,3,10.042,1:20.440,1,9.925,1:16.732
4,9.443,1:35.108,1,9.566,1:26.386,3,10.859,1:31.298,2,10.009,1:26.740
1,0.15,1:35.257,2,9.72,1:36.098,4,11.52,1:42.811,3,10.22,1:36.958
