Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
3,8.61,8.61,4,8.82,8.82,6,9.29,9.29,1,8.56,8.56,5,9.06,9.06,2,8.57,8.57
3,12.15,20.77,4,12.15,20.98,6,12.04,21.33,1,12.14,20.71,5,11.94,21.00,2,12.13,20.71
2,11.80,32.57,5,11.89,32.87,6,11.64,32.98,3,11.86,32.58,4,11.75,32.76,1,11.78,32.50
1,11.31,43.89,4,11.33,44.20,6,11.61,44.60,3,11.48,44.06,5,11.54,44.30,2,11.45,43.95
3,10.53,54.43,5,10.43,54.63,6,10.28,54.88,1,10.11,54.18,4,10.18,54.48,2,10.39,54.34
1,9.61,1:04.04,4,9.77,1:04.40,6,9.73,1:04.62,3,9.91,1:04.09,5,9.97,1:04.46,2,9.69,1:04.04
3,9.90,1:13.95,1,9.50,1:13.91,5,9.48,1:14.10,2,9.83,1:13.93,6,9.77,1:14.24,4,9.94,1:13.99
3,9.52,1:23.47,5,9.77,1:23.69,1,9.11,1:23.22,4,9.76,1:23.69,6,9.60,1:23.85,2,9.30,1:23.29
1,9.16,1:32.64,6,9.49,1:33.19,2,9.42,1:32.65,4,9.37,1:33.07,5,9.30,1:33.15,3,9.40,1:32.69
3,9.46,1:42.10,4,9.49,1:42.68,1,9.35,1:42.00,5,9.63,1:42.70,6,9.66,1:42.81,2,9.38,1:42.08
2,9.39,1:51.50,6,22.05,2:04.74,1,9.40,1:51.41,5,10.31,1:53.02,4,9.50,1:52.32,3,9.43,1:51.51
3,9.48,2:00.99,6,22.95,2:27.69,1,9.48,2:00.89,5,10.35,2:03.37,4,9.73,2:02.05,2,9.40,2:00.91
3,9.44,2:10.43,6,13.83,2:41.52,1,9.47,2:10.36,5,10.59,2:13.97,4,10.17,2:12.22,2,9.48,2:10.40
3,9.73,2:20.155,5,13.21,2:54.721,2,9.55,2:19.902,0,,DQ,4,11.17,2:23.383,1,9.48,2:19.871
