Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
3,12.50,12.50,5,12.93,12.93,1,12.33,12.33,4,12.59,12.59,2,12.36,12.36
4,9.31,21.81,5,9.05,21.98,2,9.29,21.62,3,9.13,21.72,1,9.18,21.54
5,9.59,31.40,3,9.24,31.22,4,9.68,31.30,2,9.38,31.10,1,9.47,31.01
5,9.60,41.00,3,9.57,40.79,4,9.61,40.91,2,9.52,40.62,1,9.52,40.53
5,9.44,50.44,3,9.48,50.27,4,9.46,50.37,2,9.51,50.13,1,9.49,50.02
5,9.36,59.80,3,9.32,59.59,4,9.29,59.66,2,9.29,59.42,1,9.27,59.29
5,9.24,1:09.04,2,8.82,1:08.41,4,8.97,1:08.63,2,8.99,1:08.41,1,9.00,1:08.29
5,9.42,1:18.46,2,8.77,1:17.18,4,8.76,1:17.39,3,8.84,1:17.25,1,8.71,1:17.00
5,9.83,1:28.29,2,8.98,1:26.16,4,8.91,1:26.30,3,8.95,1:26.20,1,9.08,1:26.08
