CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
1,13.21,13.21,2,13.33,13.33,3,13.44,13.44,4,13.54,13.54
1,10.04,23.25,2,10.00,23.33,3,10.00,23.44,4,9.98,23.52
2,9.91,33.16,1,9.70,33.03,3,9.80,33.24,4,9.82,33.34
1,9.59,42.75,2,9.81,42.84,3,9.66,42.90,4,9.65,42.99
1,10.00,52.75,2,9.99,52.83,3,10.01,52.91,4,10.03,53.02
1,9.60,1:02.35,2,9.62,1:02.45,3,9.62,1:02.53,4,9.71,1:02.73
2,9.50,1:11.85,4,9.54,1:11.99,1,9.27,1:11.80,3,9.23,1:11.96
4,9.73,1:21.58,3,9.55,1:21.54,1,9.29,1:21.09,2,9.39,1:21.35
0,,PEN,3,9.36,1:30.893,1,9.58,1:30.667,2,9.43,1:30.774
