TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
5,9.55,9.55,1,8.95,8.95,2,9.24,9.24,3,9.39,9.39,6,9.64,9.64,8,9.94,9.94,7,9.67,9.67,4,9.41,9.41
7,13.03,22.58,1,12.93,21.88,3,12.82,22.06,4,12.86,22.25,5,12.62,22.26,8,12.83,22.77,6,12.77,22.44,2,12.58,21.99
5,11.18,33.76,2,11.63,33.51,1,11.33,33.39,4,11.47,33.72,6,11.55,33.81,8,11.31,34.08,7,11.44,33.88,3,11.65,33.64
1,10.13,43.89,3,10.66,44.17,2,10.64,44.03,5,10.55,44.27,7,10.68,44.49,8,10.60,44.68,6,10.49,44.37,4,10.62,44.26
5,10.13,54.02,3,9.76,53.93,2,9.82,53.85,1,9.41,53.68,7,9.72,54.21,8,9.68,54.36,6,9.71,54.08,4,9.75,54.01
5,9.97,1:03.99,3,9.90,1:03.83,1,9.87,1:03.72,2,10.12,1:03.80,6,9.90,1:04.11,8,9.95,1:04.31,7,10.17,1:04.25,4,9.90,1:03.91
5,10.34,1:14.33,3,10.30,1:14.13,1,10.21,1:13.93,2,10.23,1:14.03,6,10.31,1:14.42,7,10.25,1:14.56,8,10.43,1:14.68,4,10.32,1:14.23
4,10.20,1:24.53,3,10.30,1:24.43,1,10.38,1:24.31,2,10.37,1:24.40,6,10.25,1:24.67,7,10.28,1:24.84,8,10.28,1:24.96,5,10.31,1:24.54
5,9.55,1:34.08,1,9.29,1:33.72,2,9.53,1:33.84,3,9.52,1:33.92,6,9.52,1:34.19,7,9.50,1:34.34,8,9.41,1:34.37,4,9.45,1:33.99
5,9.35,1:43.43,2,9.36,1:43.08,1,9.22,1:43.06,3,9.30,1:43.22,6,9.34,1:43.53,7,9.34,1:43.68,8,9.53,1:43.90,4,9.33,1:43.32
4,9.33,1:52.76,2,9.51,1:52.59,1,9.42,1:52.48,3,9.46,1:52.68,6,9.27,1:52.80,7,9.20,1:52.88,8,9.34,1:53.24,4,9.44,1:52.76
7,9.59,2:02.35,2,9.37,2:01.96,1,9.39,2:01.87,3,9.38,2:02.06,5,9.40,2:02.20,3,9.18,2:02.06,8,9.42,2:02.66,6,9.53,2:02.29
7,9.36,2:11.71,3,9.41,2:11.37,1,9.26,2:11.13,2,9.14,2:11.20,5,9.29,2:11.49,4,9.35,2:11.41,8,9.53,2:12.19,6,9.35,2:11.64
7,9.43,2:21.128,3,9.45,2:20.816,1,,2:20.508,2,,2:20.515,5,9.45,2:20.932,4,9.47,2:20.874,8,9.80,2:21.979,6,9.37,2:20.999
