LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,7.28,7.28,1,7.11,7.11,3,7.30,7.30,4,7.39,7.39
4,9.72,17.00,1,9.17,16.28,2,9.37,16.67,3,9.38,16.77
4,8.68,25.68,1,8.74,25.02,3,8.94,25.61,2,8.66,25.43
3,15.21,40.89,1,8.91,33.93,4,16.49,42.10,2,8.74,34.17
3,12.37,53.257,2,9.08,43.002,0,,PEN,1,8.80,42.962
