Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
2,6.98,6.98,3,7.18,7.18,1,6.78,6.78,4,7.24,7.24
2,9.27,16.25,3,9.17,16.35,1,8.91,15.69,4,9.19,16.43
3,8.78,25.03,4,8.80,25.15,1,8.72,24.41,2,8.42,24.85
3,8.75,33.78,4,8.74,33.89,1,8.87,33.28,2,8.55,33.40
3,8.94,42.712,4,8.85,42.736,2,9.06,42.340,1,8.94,42.339
