Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,9.13,9.13,2,9.51,9.51,5,10.06,10.06,3,9.66,9.66,4,9.86,9.86
1,13.16,22.29,2,12.91,22.42,5,12.78,22.84,3,12.86,22.52,4,12.80,22.66
1,12.29,34.58,2,12.28,34.70,5,12.27,35.11,3,12.26,34.78,4,12.23,34.89
2,12.02,46.60,3,11.99,46.69,5,11.91,47.02,1,11.82,46.60,4,11.97,46.86
3,11.48,58.08,2,11.36,58.05,5,11.45,58.47,1,11.37,57.97,4,11.40,58.26
3,11.61,1:09.69,2,11.57,1:09.62,5,11.51,1:09.98,1,11.56,1:09.53,4,11.55,1:09.81
4,11.05,1:20.74,1,10.95,1:20.57,5,10.95,1:20.93,2,11.11,1:20.64,3,10.88,1:20.69
5,10.20,1:30.94,2,10.01,1:30.58,4,10.00,1:30.93,3,10.03,1:30.67,1,9.80,1:30.49
5,9.72,1:40.66,3,9.89,1:40.47,1,9.09,1:40.02,4,9.88,1:40.55,2,9.79,1:40.28
5,9.59,1:50.25,3,9.31,1:49.78,1,9.22,1:49.24,4,9.31,1:49.86,2,9.16,1:49.44
5,9.73,1:59.98,3,9.47,1:59.25,1,9.32,1:58.56,4,9.42,1:59.28,2,9.23,1:58.67
5,10.35,2:10.33,4,9.93,2:09.18,1,9.39,2:07.95,3,9.65,2:08.93,2,9.39,2:08.06
5,10.76,2:21.09,4,10.09,2:19.27,1,9.54,2:17.49,3,9.61,2:18.54,2,9.58,2:17.64
5,10.95,2:32.033,4,10.47,2:29.737,1,9.85,2:27.332,3,10.05,2:28.581,2,9.80,2:27.440
