CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
1,14.48,14.48,3,14.70,14.70,3,14.70,14.70,5,14.98,14.98,2,14.56,14.56
2,10.55,25.03,4,10.53,25.23,1,10.15,24.85,5,10.37,25.35,3,10.58,25.14
1,10.16,35.19,4,10.23,35.46,2,10.39,35.24,5,10.23,35.58,3,10.22,35.36
1,10.00,45.19,4,10.03,45.49,2,10.08,45.32,5,9.95,45.53,3,10.04,45.40
1,9.71,54.90,5,9.72,55.21,2,9.68,55.00,3,9.56,55.09,4,9.80,55.20
1,9.50,1:04.40,4,9.46,1:04.67,2,9.53,1:04.53,3,9.57,1:04.66,5,9.58,1:04.78
1,9.26,1:13.66,3,9.56,1:14.23,2,9.34,1:13.87,4,9.59,1:14.25,5,9.62,1:14.40
1,9.28,1:22.94,3,9.47,1:23.70,2,9.35,1:23.22,4,9.62,1:23.87,5,9.79,1:24.19
1,9.60,1:32.529,3,9.84,1:33.526,2,9.69,1:32.893,4,9.89,1:33.748,5,9.77,1:33.946
