WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,13.84,13.84,3,13.96,13.96,2,13.93,13.93,4,14.15,14.15
2,9.84,23.68,3,9.79,23.75,1,9.65,23.58,4,9.71,23.86
2,9.41,33.09,3,9.49,33.24,1,9.47,33.05,4,9.63,33.49
1,8.96,42.05,3,9.03,42.27,2,9.12,42.17,4,8.91,42.40
1,9.28,51.33,4,9.30,51.57,2,9.26,51.43,3,9.12,51.52
1,9.23,1:00.56,4,9.26,1:00.83,2,9.21,1:00.64,3,9.21,1:00.73
3,9.33,1:09.89,4,9.07,1:09.90,1,9.11,1:09.75,2,9.09,1:09.82
3,9.00,1:18.89,4,9.31,1:19.21,1,8.88,1:18.63,2,8.92,1:18.74
3,9.06,1:27.951,4,9.31,1:28.512,1,9.07,1:27.699,2,9.07,1:27.803
