Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
2,9.31,9.31,4,9.68,9.68,5,9.80,9.80,3,9.48,9.48,1,9.23,9.23
2,14.29,23.60,4,14.31,23.99,5,14.31,24.11,3,14.26,23.74,1,14.25,23.48
2,13.58,37.18,3,13.24,37.23,5,13.29,37.40,4,13.57,37.31,1,13.68,37.16
3,11.37,48.55,2,11.26,48.49,1,10.98,48.38,5,11.40,48.71,4,11.46,48.62
4,11.31,59.86,2,11.21,59.70,3,11.40,59.78,1,10.90,59.61,5,11.37,59.99
2,10.58,1:10.44,3,10.77,1:10.47,4,10.79,1:10.57,1,10.70,1:10.31,5,10.73,1:10.72
3,10.78,1:21.22,2,10.73,1:21.20,4,10.78,1:21.35,1,10.80,1:21.11,5,10.77,1:21.49
3,10.15,1:31.37,1,9.99,1:31.19,4,10.14,1:31.49,2,10.18,1:31.29,5,10.14,1:31.63
3,10.24,1:41.61,1,10.21,1:41.40,4,10.22,1:41.71,2,10.22,1:41.51,5,10.21,1:41.84
3,10.21,1:51.82,1,10.25,1:51.65,4,10.21,1:51.92,2,10.22,1:51.73,5,10.22,1:52.06
3,10.16,2:01.98,1,10.14,2:01.79,4,10.13,2:02.05,2,10.15,2:01.88,5,10.16,2:02.22
3,9.71,2:11.69,1,9.70,2:11.49,4,9.74,2:11.79,2,9.72,2:11.60,5,9.76,2:11.98
3,9.33,2:21.02,1,9.38,2:20.87,4,9.32,2:21.11,2,9.36,2:20.96,5,9.51,2:21.49
3,9.48,2:30.491,1,9.43,2:30.293,4,9.45,2:30.558,2,9.51,2:30.462,5,10.48,2:31.966
