Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,14.100,14.100,3,14.420,14.420,2,14.280,14.280
1,11.990,26.100,3,11.840,26.260,2,11.830,26.110
1,11.710,37.810,3,11.770,38.040,2,11.870,37.980
1,10.550,48.370,2,10.470,48.510,3,10.520,48.510
1,10.330,58.710,3,10.390,58.900,2,10.370,58.890
2,10.750,1:09.460,3,10.600,1:09.500,1,10.330,1:09.230
3,10.570,1:20.030,1,10.290,1:19.800,2,10.650,1:19.880
2,10.380,1:30.420,1,10.280,1:30.080,3,10.740,1:30.630
2,10.600,1:41.020,1,10.520,1:40.610,3,10.840,1:41.470
