Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Teerit VONGKOVIT POSITION,Teerit VONGKOVIT LAP TIME,Teerit VONGKOVIT ELAPSED TIME
1,15.09,15.09,4,15.44,15.44,2,15.10,15.10,3,15.23,15.23
1,11.26,26.35,4,11.23,26.67,2,11.37,26.47,3,11.33,26.56
1,11.02,37.37,4,11.06,37.73,2,11.06,37.53,3,11.04,37.60
3,10.43,47.80,4,10.10,47.83,1,10.12,47.65,2,10.17,47.77
3,9.71,57.51,2,9.41,57.24,1,9.47,57.12,4,9.84,57.61
3,9.43,1:06.94,2,9.33,1:06.57,1,9.32,1:06.44,4,9.42,1:07.03
4,9.25,1:16.19,2,9.17,1:15.74,1,9.02,1:15.46,3,9.15,1:16.18
4,9.65,1:25.84,2,9.05,1:24.79,1,9.12,1:24.58,3,9.47,1:25.65
4,9.69,1:35.521,2,9.21,1:33.996,1,9.29,1:33.865,3,9.82,1:35.469
