LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
3,9.14,9.14,2,8.99,8.99,1,8.90,8.90,4,9.38,9.38,5,9.45,9.45
3,13.50,22.64,2,13.49,22.48,1,13.35,22.25,4,13.47,22.85,5,13.56,23.01
3,11.89,34.53,2,11.92,34.40,1,12.01,34.26,4,11.79,34.64,5,11.72,34.73
3,11.86,46.39,2,11.81,46.21,1,11.73,45.99,4,11.92,46.56,5,11.96,46.69
3,10.83,57.22,2,10.92,57.13,1,11.02,57.01,4,10.71,57.27,5,10.76,57.45
3,11.37,1:08.59,2,11.34,1:08.47,1,11.32,1:08.33,4,11.45,1:08.72,5,11.43,1:08.88
3,10.84,1:19.43,2,10.87,1:19.34,1,10.86,1:19.19,4,10.81,1:19.53,5,10.82,1:19.70
2,10.92,1:30.35,3,11.04,1:30.38,1,11.06,1:30.25,4,11.05,1:30.58,5,11.00,1:30.70
1,9.56,1:39.91,3,9.89,1:40.27,5,10.29,1:40.54,4,9.77,1:40.35,2,9.39,1:40.09
1,9.56,1:49.47,3,9.51,1:49.78,5,10.24,1:50.78,4,9.54,1:49.89,2,9.59,1:49.68
1,9.35,1:58.82,3,9.29,1:59.07,5,10.30,2:01.08,4,9.29,1:59.18,2,9.27,1:58.95
1,9.46,2:08.28,3,9.57,2:08.64,5,10.74,2:11.82,4,9.52,2:08.70,2,9.48,2:08.43
1,9.47,2:17.75,3,9.64,2:18.28,5,11.04,2:22.86,4,10.19,2:18.89,2,9.45,2:17.88
1,9.34,2:27.088,3,10.21,2:28.481,5,11.03,2:33.890,4,10.28,2:29.163,2,9.61,2:27.486
