Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME
2,14.258,14.258,1,14.110,14.110,3,14.437,14.437,4,14.597,14.597
2,10.642,24.899,1,10.637,24.746,3,10.545,24.982,4,10.563,25.159
1,9.830,34.729,2,10.127,34.872,4,10.081,35.063,3,9.725,34.883
3,9.855,44.583,1,9.478,44.350,4,9.668,44.731,2,9.619,44.502
3,9.870,54.452,1,9.969,54.319,4,9.821,54.551,2,9.905,54.407
3,9.923,1:04.375,2,9.946,1:04.265,4,9.966,1:04.517,1,9.744,1:04.150
4,10.161,1:14.535,2,9.643,1:13.908,1,9.379,1:13.895,3,9.765,1:13.915
4,10.704,1:25.239,2,9.743,1:23.650,3,10.140,1:24.034,1,9.539,1:23.454
4,11.01,1:36.248,2,10.14,1:33.781,3,10.27,1:34.304,1,10.16,1:33.610
