Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
3,14.11,14.11,1,13.89,13.89,2,13.99,13.99,4,14.26,14.26
3,11.36,25.47,1,11.37,25.26,2,11.33,25.32,4,11.32,25.58
1,10.65,36.12,3,11.10,36.36,2,10.94,36.26,4,11.01,36.59
1,10.82,46.94,3,10.82,47.18,2,10.80,47.06,4,10.72,47.31
1,10.28,57.22,4,10.50,57.68,3,10.25,57.31,2,9.93,57.24
3,9.50,1:06.72,4,10.16,1:07.84,2,9.32,1:06.63,1,9.32,1:06.56
3,9.55,1:16.27,4,10.55,1:18.39,2,9.23,1:15.86,1,9.17,1:15.73
3,9.84,1:26.11,4,10.96,1:29.35,2,9.15,1:25.01,1,9.19,1:24.92
3,10.21,1:36.319,4,11.32,1:40.665,2,9.38,1:34.382,1,9.31,1:34.228
